,Title,Published_date,Views,Likes,Comments,Video_length,Month
125,Ford F150 Lightning is the iPhone of Pickup Trucks!,2022-06-24,3227990,118794,6349,519.0,Jun
126,The Nothing Phone LOOKS Different,2022-06-21,8280743,310668,14498,409.0,Jun
127,This Was Ahead of its Time!,2022-06-11,4917341,173559,6120,843.0,Jun
128,M2 MacBook Air Impressions: Midnight Madness!,2022-06-08,5512725,154395,6922,472.0,Jun
129,WWDC 2022 Impressions: M2 Macs and iOS 16?!,2022-06-07,4860666,290569,7269,1049.0,Jun
130,The Future of Smartphone Cameras? Sony Xperia 1 IV!,2022-05-24,2729303,104699,4153,619.0,May
131,DALLE: AI Made This Thumbnail!,2022-05-16,2685962,143174,6195,911.0,May
132,"Sony WH-1000XM5 Review: Two Steps Forward, One Step Back!",2022-05-12,4780309,164474,7062,613.0,May
133,"Pixel Watch, Pixel 7 and Google's Hardware Reveal 2022!",2022-05-11,2699727,104712,6031,695.0,May
134,What Happens When the iPhone Peaks?,2022-04-30,4244029,158113,10257,537.0,Apr
135,David Blaine Teaches Me Magic!,2022-04-25,1253860,63110,1896,1600.0,Apr
136,Ford's Coolest Electric Truck is from 1978!,2022-04-18,1618471,96770,4299,499.0,Apr
137,I Gave the Pixel Another Chance...,2022-04-14,2999187,114522,6695,488.0,Apr
138,The SteamDeck is Incomplete But Fun!,2022-04-11,2554251,97255,5231,674.0,Apr
139,YouTube Needs to Fix This,2022-04-02,3028004,194512,14896,650.0,Apr
140,The Electric Car Pre-Order Problem,2022-03-30,2454206,115239,6902,801.0,Mar
141,Does Fast Charging ACTUALLY Ruin Your Battery?,2022-03-25,6383248,291765,12737,766.0,Mar
142,"""The Apple Studio Display is a Bad Deal""",2022-03-22,4721347,149450,9889,738.0,Mar
143,Mac Studio Review: Double Trouble!,2022-03-18,3891788,135164,4826,886.0,Mar
144,iPad Air M1 Review: Don't Choose Wrong!,2022-03-16,5747097,164401,5100,567.0,Mar
145,iPhone SE (2022) Review: Old Dog. New Trick.,2022-03-14,3788456,137880,9862,652.0,Mar
146,The Green iPhone 13 in 59 seconds!,2022-03-11,4470974,234396,2555,60.0,Mar
147,NEW Mac Studio & Apple Event Reactions!,2022-03-09,3117790,134806,7228,787.0,Mar
148,Dope Tech: Weirdest Earbuds I've Ever Tried!,2022-03-02,2750944,124209,3813,798.0,Mar
